Make,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
BMW,2011,premium unleaded (required),335.0,6.0,MANUAL,rear wheel drive,2,Compact,Coupe,26.0,19.0,3916.0,46135.0
BMW,2011,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2,Compact,Convertible,28.0,19.0,3916.0,40650.0
BMW,2011,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2,Compact,Coupe,28.0,20.0,3916.0,36350.0
BMW,2011,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2,Compact,Coupe,28.0,18.0,3916.0,29450.0
BMW,2011,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2,Compact,Convertible,28.0,18.0,3916.0,34500.0
BMW,2012,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2,Compact,Coupe,28.0,18.0,3916.0,31200.0
BMW,2012,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2,Compact,Convertible,26.0,17.0,3916.0,44100.0
BMW,2012,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2,Compact,Coupe,28.0,20.0,3916.0,39300.0
BMW,2012,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2,Compact,Convertible,28.0,18.0,3916.0,36900.0
BMW,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2,Compact,Convertible,27.0,18.0,3916.0,37200.0
BMW,2013,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2,Compact,Coupe,28.0,20.0,3916.0,39600.0
BMW,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2,Compact,Coupe,28.0,19.0,3916.0,31500.0
BMW,2013,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2,Compact,Convertible,28.0,19.0,3916.0,44400.0
BMW,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2,Compact,Convertible,28.0,19.0,3916.0,37200.0
BMW,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2,Compact,Coupe,28.0,19.0,3916.0,31500.0
BMW,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2,Compact,Convertible,25.0,18.0,3916.0,48250.0
BMW,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2,Compact,Coupe,28.0,20.0,3916.0,43550.0
Audi,1992,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4,Midsize,Sedan,24.0,17.0,3105.0,2000.0
Audi,1992,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4,Midsize,Sedan,24.0,17.0,3105.0,2000.0
Audi,1992,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Wagon,20.0,16.0,3105.0,2000.0
Audi,1992,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4,Midsize,Sedan,24.0,17.0,3105.0,2000.0
Audi,1992,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4,Midsize,Sedan,21.0,16.0,3105.0,2000.0
Audi,1993,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4,Midsize,Sedan,24.0,17.0,3105.0,2000.0
Audi,1993,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Wagon,20.0,16.0,3105.0,2000.0
Audi,1993,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4,Midsize,Sedan,24.0,17.0,3105.0,2000.0
Audi,1993,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4,Midsize,Sedan,24.0,17.0,3105.0,2000.0
Audi,1993,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4,Midsize,Sedan,21.0,16.0,3105.0,2000.0
Audi,1994,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4,Midsize,Wagon,21.0,16.0,3105.0,2000.0
Audi,1994,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4,Midsize,Sedan,22.0,16.0,3105.0,2000.0
Audi,1994,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4,Midsize,Sedan,22.0,17.0,3105.0,2000.0
Audi,1994,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,22.0,16.0,3105.0,2000.0
Audi,1994,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Wagon,21.0,16.0,3105.0,2000.0
FIAT,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2,Compact,Convertible,35.0,26.0,819.0,27495.0
FIAT,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2,Compact,Convertible,35.0,26.0,819.0,24995.0
FIAT,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2,Compact,Convertible,35.0,26.0,819.0,28195.0
Mercedes-Benz,1991,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4,Compact,Sedan,26.0,18.0,617.0,2000.0
Mercedes-Benz,1991,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4,Compact,Sedan,25.0,17.0,617.0,2000.0
Mercedes-Benz,1992,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4,Compact,Sedan,25.0,17.0,617.0,2000.0
Mercedes-Benz,1992,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4,Compact,Sedan,26.0,18.0,617.0,2000.0
Mercedes-Benz,1993,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4,Compact,Sedan,26.0,18.0,617.0,2000.0
Mercedes-Benz,1993,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4,Compact,Sedan,25.0,17.0,617.0,2000.0
